+ 0, 482
+ 4, 192
+ 5, 366
+5 + 0, 216
+ 0 - 4, 275
+ 0 + 1, 482
- 1 + 3, 93
+ 1 + 2, 155
+ 3 + 1, 0
- 3 - 2, 0
+ 3 - 2, 0
- 3 - 0, 118
-5 + 5 + 0, 220
+ 0 + 4 - 4, 1456
+ 0 + 1 + 2, 151
+ 0 - 4 + 1, 260
+ 0 + 4 + 1, 284
- 5 + 0 + 3, 70
- 3 + 4 - 0, 64
- 3 - 4 - 0, 85
+ 3 - 4 - 0, 0
+ 0 + 3 + 2, 0
+ 5 + 5 + 4, 0
+ 0 - 4 + 1 + 2, 87
+ 5 + 0 + 1 + 2, 51
- 5 + 0 - 4 + 3, 32
+ 5 + 0 + 3 + 2, 0
+ 5 + 5 + 5 + 4, 0
+ 5 + 0 - 4 + 1 + 2, 38
- 5 + 0 + 4 + 1 - 1, 561
- 5 + 0 + 4 + 1 + 1, 0
+ 5 + 0 + 4 + 1 + 1, 0
+ 5 + 0 + 4 + 3 + 2, 0
+ 5 + 5 + 5 + 5 + 4, 0
+ 5 + 5 + 5 + 4 + 4, 0